dialogue_id,turn_index,speaker,utterance,original_prob,intervention_features,new_prob,prob_reduction,num_features
2033,6,陳玲,對呀，送給你。別人能送你西湖龍井，難道我就不能送你黃山毛尖？,0.6435846041090122,turn_index + speakers_in_dialogue,0.34328399835959433,0.30030060574941786,2
1818,6,王若蝶,不要告訴鄺大哥！求你不要！求你不要！我在鄺大哥眼裏是純潔可愛的女孩。現在的我已經變成骯髒的人了，我再也不敢面對他了！不要告訴鄺大哥！求你不要！求你不要……,0.6895214130284887,utterance_len + speakers_in_dialogue,0.42313285374671167,0.266388559281777,2
2559,4,苗苗,——你侄女的病情怎麼樣了？,0.54789425654127,turn_index + speakers_in_dialogue + is_first_turn,0.43518787064524167,0.11270638589602833,3
1487,9,鄺野,我去送送她們。那麼遠的路兩個女孩也不安全！這湯你喝了吧。,0.6066376671650943,turn_index + speakers_in_dialogue,0.37209679348025615,0.2345408736848381,2
2856,5,連輝,你聽我解釋好嗎？,0.8069549644095325,turn_index + speakers_in_dialogue,0.4026966023948073,0.4042583620147252,2
1200,5,張心,恩。知道啦！今天離不成不是還有明天嘛！真是的！,0.6632438932112286,utterance_len + speakers_in_dialogue + is_mpdd,0.4252271904313698,0.23801670277985876,3
3991,0,馬軍,我們也不知道她上醫院來了。後來她從醫院出來也沒回家，我們這才知道，也不知道她上哪兒去了。,0.5596064921146117,utterance_len + speaker_turn_count,0.3998851175587508,0.15972137455586088,2
3110,3,師兄,沒吃過。,0.5069533069598223,turn_index + speakers_in_dialogue,0.3899429240020033,0.11701038295781901,2
895,3,李曉,哦！在。阿姨，你。子明都跟你們說了吧？,0.6136009531084394,utterance_len + speakers_in_dialogue,0.3874428638162244,0.22615808929221504,2
696,3,宋喬,阿心，把門打開吧！,0.5679608195175048,turn_index + is_early_turn + speaker_turn_count,0.41505864361326383,0.15290217590424093,3
1584,1,鄺野,《唯愛》酒店的總經理！怎麼了？,0.5351050398453239,turn_index + speakers_in_dialogue,0.3957434671102817,0.13936157273504218,2
1742,5,鄺莎,哥，幹嗎？,0.5252543848385907,turn_index + speakers_in_dialogue + speaker_turn_count,0.39573479785487614,0.12951958698371452,3
1061,5,陳子明,這個。,0.5543951930469124,turn_index + speakers_in_dialogue,0.3901602077526561,0.16423498529425634,2
1614,6,服務生,何志靜，那天柯老大好像很擔心的樣子，後來也離開了。,0.674071419121955,utterance_len + speakers_in_dialogue + is_first_turn,0.42313285374671167,0.25093856537524334,3
83,5,劉豔,正鵬，不管你怎麼拒絕我，可我作出的決定是任何人改變不了的！並且，我還要堅定不移的沿着這條曲折的路走下去，直至我生命的最後一天。,0.7315017087868739,utterance_len + speakers_in_dialogue + speaker_turn_count,0.42522719043136986,0.30627451835550407,3
852,6,張愛,如果我沒失憶呢？,0.5350797518936975,turn_index + speakers_in_dialogue,0.40998424628512736,0.12509550560857013,2
198,8,左正鵬,劉豔，你在信裏寫了那些傷心的話，我看後也過意不去，魯媛是我害了她，我再也不忍心讓第二個有情女人步她的後塵，於是，今天我特意趕了過來。,0.7506567515420427,utterance_len + speakers_in_dialogue,0.43402533347853506,0.31663141806350764,2
262,12,劉豔,每個人的婚姻都是上天註定的，你們對我有什麼不理解的！,0.646233503646386,turn_index + speakers_in_dialogue,0.3953472581738173,0.2508862454725687,2
250,16,劉豔,那好吧，外婆既然有這個要求，我們就成全她吧，我看還是小寶爲外婆翻譯翻譯下好些。,0.6151763205780607,turn_index + speaker_turn_count,0.39703860106563515,0.21813771951242555,2
3421,4,通信員,進來吧。,0.5613808111491876,turn_index + speakers_in_dialogue,0.37618920126639877,0.18519160988278882,2
3322,2,趙小蘭,咱們的事兒可得保密呀，不許跟別人說。,0.525365479470128,turn_index + speakers_in_dialogue,0.28755886244749457,0.23780661702263345,2
188,1,劉豔,左正鵬現在大學已經畢業了，那份通知書的背後隱藏着什麼，你知道嗎？國家恢復高考是1976年，這一年左正鵬就參加了高考。誰知他考上了湖南農大，這是當年農大發給左正鵬,0.7299434625606449,utterance_len + speakers_in_dialogue,0.37662738657258676,0.35331607598805814,2
2017,3,尚潔,其實也沒什麼。隨便說幾句話罷了。,0.557825671036078,utterance_len + speakers_in_dialogue + speaker_turn_count,0.3874428638162244,0.17038280721985366,3
594,5,李曉,來，喝口水。,0.5029768482232815,turn_index + speakers_in_dialogue,0.3723360087590822,0.1306408394641993,2
4088,3,韓東,那倒不會。我們家那小草房也擱不下他呀！,0.5615046546168994,utterance_len + speakers_in_dialogue,0.41979999296929393,0.14170466164760542,2
60,19,劉豔,是，是，你把我的心說的癢癢的。明年我一定也要揮戈上陣試試，否則，枉了我讀書人的十年寒窗時間。,0.5059022506690867,word_count + is_first_turn + speaker_turn_count,0.3444996948326649,0.16140255583642177,3
1560,2,柳慧,每半年換一次工種，這是老大的明文規定。再說累是好事啊。說明花圃的銷量好嘛！銷量好我們就可以分很多錢啊！王若蝶，你這個人可真懶。,0.6408104770376323,utterance_len + speakers_in_dialogue + is_early_turn,0.3835471058283957,0.2572633712092366,3
609,8,張愛,我。,0.6331891941813257,turn_index + speakers_in_dialogue,0.3267558953092131,0.30643329887211257,2
704,4,宋喬,你就別太難過了。事情現在已成定局。我們能有什麼辦法呢？不管將來怎麼樣，都要靠孩子們自己去過日子，我們又能怎麼樣呢？,0.736230377820238,utterance_len + speakers_in_dialogue + speaker_turn_count,0.4235845178622425,0.31264585995799554,3
2881,13,老闆,不客氣。,0.557840743554095,speakers_in_dialogue + is_first_turn,0.4065880001608776,0.15125274339321737,2
4083,0,韓東,八萬。,0.623392913023352,turn_index + speakers_in_dialogue,0.3591388274333475,0.26425408559000446,2
917,4,老闆,７塊５。,0.5613808111491876,turn_index + speakers_in_dialogue,0.37618920126639877,0.18519160988278882,2
1516,14,鄺野,先送我回家吧，然後你回家休息。等會我去買只雞燉。晚點時你給楊藍送去。,0.674183163990512,turn_index + word_count + speaker_turn_count,0.4276360716517491,0.24654709233876293,3
7850,0,Speaker_1,"We've been discussing the project for two hours . Let's take a break . ""
 ' Soun",0.8521123605447096,word_count + speaker_turn_count,0.44376046377201384,0.4083518967726958,2
3462,6,趙小蘭,對，查過了，沒錯，你回去吧。,0.5491975370731951,utterance_len + speakers_in_dialogue,0.42313285374671167,0.1260646833264834,2
