dialogue_id,turn_index,speaker,utterance,emotion,num_listeners,listeners,relations,speaker_position,prev_speaker,prev_emotion,prev_utterance_len,next_speaker,next_emotion,utterance_len,utterance_word_count,voice_status,suppression_score
8,7,左正鵬,麗華，你別哭，我特別理解你的心情，感謝你對我的信任和真誠的愛。但你還要知道的是愛一個人是要有責任的，同時還要付出一定的代價！請你對我所說的這些三思而行吧！最好你還是另攀高門，今後你就別再提起我們這件事了！祝你幸福吧！我們往後還是最好的同學和朋友！,sadness,1,徐麗華,friend,peer,左正鵬,sadness,341,徐麗華,sadness,123,1,neutral,2
8,8,徐麗華,正鵬，儘管你對我怎樣解釋都改變不了我對你的愛。雖然你的出生不好這是你沒辦法的事。毛主席說過“出生不由己，道路可選擇”嗎？至於你作了“胃穿孔”切除手術這就更是我對你關心和同情的地方。我願意與你“風雨同舟”，“患難與共”。你也別認爲家庭困難而自卑。困難都是暫時的。只要我倆今後有雙勤勞的雙手，什麼困難都是能克服的。再說我村子的人都知道了我已嫁給了你，你說這話已經傳出去了誰又能收回來呢？你就不考慮下我的感受嗎？你還不知道的是：我今天早晨離家的時候，我父親再三叮囑我，叫你散會以後一定去我家一趟，說有重要事情同你商量！,sadness,1,左正鵬,friend,peer,左正鵬,sadness,123,左正鵬,surprise,256,1,neutral,2
8,9,左正鵬,有什麼重要事情同我商量？你傳達下不就行了嗎，何必我非去不可！,surprise,1,徐麗華,friend,peer,徐麗華,sadness,256,徐麗華,surprise,30,1,neutral,1
8,10,徐麗華,他們大人的事情我怎麼知道！,surprise,1,左正鵬,friend,peer,左正鵬,surprise,30,左正鵬,disgust,13,1,neutral,2
8,11,左正鵬,麗華，我該說的都說跟你聽了，你還執迷不悟呀！,disgust,1,徐麗華,friend,peer,徐麗華,surprise,13,徐麗華,neutral,22,1,suppressed,3
8,12,徐麗華,正鵬，我凡認準的事是任何人都改變不了我的決定！,neutral,1,左正鵬,friend,peer,左正鵬,disgust,22,左正鵬,disgust,23,1,suppressed,3
8,13,左正鵬,麗華，今天你到底要我怎樣？請你給我留點空間行嗎？,disgust,1,徐麗華,friend,peer,徐麗華,neutral,23,徐麗華,neutral,24,1,suppressed,3
8,14,徐麗華,正鵬，你也應該明白，我對你死心踏地的追求也是對你的關心和呵護呀！,neutral,1,左正鵬,friend,peer,左正鵬,disgust,24,徐麗華,neutral,32,1,suppressed,3
8,15,徐麗華,正鵬，今天你如果不答應我，你不論走到哪裏，我就跟着你走到那裏。,neutral,1,左正鵬,friend,peer,徐麗華,neutral,32,左正鵬,disgust,31,1,suppressed,3
8,16,左正鵬,散會後我去你家行了吧？唉！女人給這個世界帶來了麻煩，但這個世界沒有女人又不行……,disgust,1,徐麗華,friend,peer,徐麗華,neutral,31,徐麗華,neutral,40,1,suppressed,3
8,17,徐麗華,女人給你們男人帶來了什麼麻煩？還不是爲了成一個家嗎？,neutral,1,左正鵬,friend,peer,左正鵬,disgust,40,,,26,1,neutral,2
9,0,左正鵬,伯父、伯母，您們今天叫我來有什麼指教？,neutral,2,"徐父,徐母","son/daughter-in-law,son/daughter-in-law",inferior,,,0,徐父,happiness,19,1,suppressed,3
9,1,徐父,小左，你快坐下，事情是這樣的：昨天我和閨女她媽作了商量，你和麗華的年齡也不小啦！我們單方有個提議，你倆的婚慶吉日就定在今年的“元旦”節，你看如何？,happiness,1,左正鵬,parent-in-law,superior,左正鵬,neutral,19,徐母,neutral,73,1,neutral,2
9,2,徐母,現在離元旦節還有好幾個月。告訴你父母，辦婚事要儘量從簡，不要搞排場。,neutral,1,左正鵬,parent-in-law,superior,徐父,happiness,73,徐麗華,happiness,34,1,neutral,2
9,3,徐麗華,正鵬：我也什麼都不要，越簡單越好。只要你把這件事辦順利點就行啦！,happiness,1,左正鵬,spouse,peer,徐母,neutral,34,徐父,neutral,32,1,neutral,2
9,4,徐父,小左，你有什麼想法請儘量說出來，不要老實悶在心裏頭。,neutral,1,左正鵬,parent-in-law,superior,徐麗華,happiness,32,徐母,neutral,26,1,suppressed,3
9,5,徐母,對！我們都是一家人啦，你有什麼就講什麼吧！,neutral,1,左正鵬,parent-in-law,superior,徐父,neutral,26,左正鵬,fear,21,1,neutral,2
9,6,左正鵬,伯父、伯母，別的我倒沒有什麼，我最擔心的是，我倆結婚後麗華跟我會吃苦受累的。因我的家庭出生不好，我是地主的子弟呀！父親還經常受大隊幹部的批鬥！遊街，這不是跟你們臉上抹黑嗎？說不定過幾天我爸爸還要受到批斗的。,fear,2,"徐父,徐母","son/daughter-in-law,son/daughter-in-law",inferior,徐母,neutral,21,徐父,surprise,103,1,suppressed,3
9,7,徐父,小左，你這話怎講，地主的子弟就不是中國人嗎？你父親受批鬥與你有啥關係？這是階級鬥爭！這也是當前的形勢所爲。再說人的生死禍福有誰能事先料到？,surprise,1,左正鵬,parent-in-law,superior,左正鵬,fear,103,徐麗華,neutral,69,1,neutral,2
9,8,徐麗華,正鵬，我也不相信我們今後會淪爲到哪種地步的！,neutral,1,左正鵬,spouse,peer,徐父,surprise,69,左正鵬,happiness,22,1,neutral,2
9,9,左正鵬,伯父、伯母，您們態度既然這樣明朗，我只好從命啦，從今天起我也只好改稱呼叫您們岳父、岳母啦！,happiness,2,"徐父,徐母","son/daughter-in-law,son/daughter-in-law",inferior,徐麗華,neutral,22,左正鵬,happiness,45,1,neutral,2
9,10,左正鵬,感謝岳父、岳母對我的信任。不過我和麗華是自願相愛的，沒有媒介，關於結婚彩禮問題，您們對我就直說吧！,happiness,2,"徐父,徐母","son/daughter-in-law,son/daughter-in-law",inferior,左正鵬,happiness,45,徐父,surprise,49,1,neutral,2
9,11,徐父,什麼彩禮，我不是跟你說啦，辦婚事要一切從簡嗎！,surprise,1,左正鵬,parent-in-law,superior,左正鵬,happiness,49,左正鵬,neutral,23,1,neutral,2
9,12,左正鵬,您們怎得講個標準吧！,neutral,2,"徐父,徐母","son/daughter-in-law,son/daughter-in-law",inferior,徐父,surprise,23,徐母,happiness,10,1,suppressed,3
9,13,徐母,什麼標準不標準的，你的父母年紀不是都大了，家裏也不寬裕。要不就給閨女買套衣服表示表示就行啦！只要你今後不論做什麼事都能對得起她，這就是給閨女最好的彩禮！,happiness,1,左正鵬,parent-in-law,superior,左正鵬,neutral,10,左正鵬,happiness,76,1,neutral,1
9,14,左正鵬,岳父岳母，您們胸襟這樣寬闊，處處地方能理解和關心我。今後我一定關心和照顧好麗華。你們放心吧！,happiness,2,"徐父,徐母","son/daughter-in-law,son/daughter-in-law",inferior,徐母,happiness,76,,,46,1,neutral,2
10,0,左正鵬,爸、媽，我今天五·四開會。麗華同學按預約到了那裏。我拒絕她的求愛，誰知她死纏着我不放。散會後要我到她家裏一趟。她父母單方向我提出了建議：要求我和她閨女在今年元旦節結婚。他們表示不要任何彩禮，一切從簡。並囑咐我回家向您們彙報，您倆意見如何？,neutral,2,"左父,左母","child,child",inferior,,,0,左父,neutral,119,1,suppressed,4
10,1,左父,老婆子，你看，別人比我們還急些，我們老實被動着。,neutral,1,左母,spouse,peer,左正鵬,neutral,119,左母,surprise,24,1,neutral,2
10,2,左母,什麼？她們不要任何彩禮，一切從簡？,surprise,1,左正鵬,parent,superior,左父,neutral,24,左正鵬,neutral,17,1,neutral,2
10,3,左正鵬,是的，她媽說就給麗華買兩套衣服表示表示就行了！,neutral,1,左母,child,inferior,左母,surprise,17,左母,surprise,23,1,suppressed,4
10,4,左母,世上哪有這麼好的事兒，討媳婦不要彩禮的道理！,surprise,1,左正鵬,parent,superior,左正鵬,neutral,23,左正鵬,happiness,22,1,neutral,1
10,5,左正鵬,媽，今後比這事還好的可多着呢！,happiness,1,左母,child,inferior,左母,surprise,22,左母,happiness,15,1,suppressed,3
10,6,左母,那好，那好吧！就這樣定下了，等着瞧你們的！,happiness,1,左正鵬,parent,superior,左正鵬,happiness,15,,,21,1,neutral,1
11,0,馬父,老婆子，我們來到親家這裏快兩個月了，他倆的歲數比我們還略大些，我們還讓他倆來伺候，真不好意思！,neutral,1,馬母,spouse,peer,,,0,馬母,neutral,47,1,suppressed,3
11,1,馬母,是呀！再說，我們的生活費也是他們付，我們付錢他又極力拒絕，這樣長期下去我看是不行的。,neutral,1,馬父,spouse,peer,馬父,neutral,47,馬父,neutral,42,1,suppressed,3
11,2,馬父,老婆子，要不這樣吧，我們每天都搶先去買菜，這樣他們就不會去啦,neutral,1,馬母,spouse,peer,馬母,neutral,42,馬母,neutral,30,1,suppressed,3
11,3,馬母,這樣爭着也不是事呀！總得有個合理的安排才行。,neutral,1,馬父,spouse,peer,馬父,neutral,30,,,22,1,neutral,2
12,0,徐麗華,正鵬，箱子裏200元錢你拿了沒有？,neutral,1,左正鵬,spouse,peer,,,0,左正鵬,neutral,17,1,suppressed,3
12,1,左正鵬,對了，昨天晚上，你不在家，我來不及同你商量，我拿給隊長買耕牛去了。,neutral,1,徐麗華,spouse,peer,徐麗華,neutral,17,徐麗華,angry,33,1,suppressed,3
12,2,徐麗華,怎麼？你拿給生產隊買耕牛去了？！好！好！你逞什麼能？我問問你，生產隊裏有那麼多戶，他們爲什麼不獻出錢來，難道他們沒有嗎？人家比你聰明得多，姓左的，我被你氣死了！,angry,1,左正鵬,spouse,peer,左正鵬,neutral,33,左正鵬,neutral,80,1,suppressed,3
12,3,左正鵬,麗華，你情緒別高漲，聽我解釋，生產隊是我們大家，我們自己纔是小家，只有大家富裕，我們小家才能富起來，你說是不是？,neutral,1,徐麗華,spouse,peer,徐麗華,angry,80,徐麗華,angry,56,1,suppressed,3
12,4,徐麗華,什麼大家、小家的，我只知道“人不爲己天誅地滅”。,angry,1,左正鵬,spouse,peer,左正鵬,neutral,56,左正鵬,neutral,24,1,suppressed,3
12,5,左正鵬,這是哪個時代人說的話，你可知道嗎？現在我們是社會主義社會了，人人要講奉獻，大家要關心集體，熱愛集體，生產隊就是我們的大家庭，我們只是大家庭中的一分子。,neutral,1,徐麗華,spouse,peer,徐麗華,angry,24,徐麗華,angry,75,1,suppressed,3
12,6,徐麗華,左正鵬，你別說了，你當初當着我父母的面說得好聽，今後一定關心我，絕不做對不起我的事，今天我去扯布都沒錢啦，你對得起我嗎？你說呀！你背信棄義，表裏不一，我打死你！,angry,1,左正鵬,spouse,peer,左正鵬,neutral,75,左正鵬,neutral,80,1,suppressed,3
12,7,左正鵬,你買布放在下次不就行了嗎！反正布票還在我們手裏。生產隊買耕牛耕田是大事呀！,neutral,1,徐麗華,spouse,peer,徐麗華,angry,80,徐麗華,angry,37,1,suppressed,3
12,8,徐麗華,正鵬，你這個地主崽子，你竟敢和我們貧下中農子女作對，是嗎？你反對貧下中農就是反對革命。,angry,1,左正鵬,spouse,peer,左正鵬,neutral,37,左母,disgust,43,1,suppressed,3
12,9,左母,麗華，不是我說你，正鵬從地裏回來，你飯也沒給他做，我認爲家裏錢給生產隊買耕牛是正事，你沒錢買布有什麼了不起的事情，你這不是胡鬧嗎？做妻子的總要講點道理嘛！,disgust,1,徐麗華,parent-in-law,superior,徐麗華,angry,43,徐麗華,angry,77,1,suppressed,3
12,10,徐麗華,死老鬼，多管閒事！,angry,1,左母,son/daughter-in-law,inferior,左母,disgust,77,左母,angry,9,1,suppressed,5
12,11,左母,不是我多管閒事，這是我應該管的“閒事”！,angry,1,徐麗華,parent-in-law,superior,徐麗華,angry,9,徐麗華,angry,20,1,suppressed,3
12,12,徐麗華,家務事難道正鵬不能做嗎？非得我去做才行！,angry,1,左母,son/daughter-in-law,inferior,左母,angry,20,左母,disgust,20,1,suppressed,5
12,13,左母,這是農忙時節，正鵬既要教書，又要種田，夠辛苦的，早晨你在家裏應該把他的飯煮好嘛，你看他快要到學校上課去了，現在飯也沒有吃。,disgust,1,徐麗華,parent-in-law,superior,徐麗華,angry,20,左正鵬,disgust,61,1,suppressed,3
12,14,左正鵬,媽：你別和她辯啦！她那沒有教養的東西能懂得什麼道理！,disgust,1,左母,child,inferior,左母,disgust,61,徐麗華,angry,26,1,suppressed,5
12,15,徐麗華,誰說我沒有教養？我做了什麼虧人的事，你快說呀！,angry,1,左正鵬,spouse,peer,左正鵬,disgust,26,,,23,1,neutral,2
13,0,左正鵬,同學們，很抱歉！今天家裏有點事遲來了一步。下面請翻開課本45頁。我們再來學習一篇新的課文。,neutral,2,"孫校長,徐麗華","subordinate,spouse",inferior,,,0,徐麗華,angry,45,1,suppressed,4
13,1,徐麗華,左正鵬，你這個砍頭的，今天你一定要跟我賠個不是，否則，我沒完沒了的！,angry,1,左正鵬,spouse,peer,左正鵬,neutral,45,左正鵬,surprise,34,1,neutral,2
13,2,左正鵬,這是學校，是我工作的地方，請你注意點場合行嗎！,surprise,1,徐麗華,spouse,peer,徐麗華,angry,34,孫校長,surprise,23,1,neutral,1
13,3,孫校長,小徐，你有什麼事在家裏講得清的，不要到學校來鬧，影響不好，你快到外面來講給我聽聽。,surprise,1,徐麗華,unknown,peer,左正鵬,surprise,23,,,41,1,neutral,1
14,0,徐麗華,孫校長，昨天晚上左正鵬把家裏的錢給生產隊買耕牛去了，弄得家裏沒有一分錢；我跟他母親頂嘴，他又說我沒有教養；我去合作社扯布也去不成了。你說，我的氣往哪兒消呀！他還是不是我的男人？,angry,1,孫校長,unknown,peer,,,0,孫校長,neutral,88,1,suppressed,3
14,1,孫校長,小徐呀！這是件很小的事情。你別生氣。我叫左老師放學後給你溝通溝通下就行啦！哪有夫妻倆不吵架的？快回去啊！站在這裏不好看。,neutral,1,徐麗華,unknown,peer,徐麗華,angry,88,徐麗華,angry,60,1,suppressed,3
14,2,徐麗華,孫校長，就拜託了，你要給他嚴厲地批評批評啊！使他心服口服。,angry,1,孫校長,unknown,peer,孫校長,neutral,60,孫校長,neutral,29,1,suppressed,3
14,3,孫校長,你們都要多作自我批評，少說別人缺點，要放下電筒拿起鏡子。你快點回去吧。,neutral,1,徐麗華,unknown,peer,徐麗華,angry,29,,,35,1,neutral,2
15,0,左正鵬,麗華，你這在幹什麼？你這不是在糟塌糧食嗎？再說我今天肚裏還沒吃下一粒糧食呢！你忍心做出這種缺德的事來，能對得住我嗎？你還有沒有良心？,angry,1,徐麗華,spouse,peer,,,0,徐麗華,angry,66,1,suppressed,3
15,1,徐麗華,良心！你有多大的良心？我今天打了一天的撲克，同樣沒有吃一口飯，你關心了嗎？你問過我一聲嗎？你還有臉說我沒良心，呸！左父在一旁聽不下去了，他走了過來。,angry,1,左正鵬,spouse,peer,左正鵬,angry,66,左父,angry,74,1,suppressed,3
15,2,左父,麗華，正鵬在學校上課，聽說早飯還沒有吃，可你自己說了今天打了一天的撲克。你家務事不做，飯也不給男人煮，還要找他胡鬧。天下有這樣的道理嗎？你自己好好想想吧！,angry,1,徐麗華,parent-in-law,superior,徐麗華,angry,74,徐麗華,angry,77,1,suppressed,3
15,3,徐麗華,我就是想好啦纔不給他煮飯的。,angry,1,左父,son/daughter-in-law,inferior,左父,angry,77,左母,sadness,14,1,suppressed,4
15,4,左母,這種女人太好強了。村子裏有誰的女人像她那樣對待自己的男人。兒呀！你的命好苦的，討了這麼個不講道理的女人，今後你的日子怎麼過下去呀！,sadness,2,"左正鵬,徐麗華","parent,parent-in-law",superior,徐麗華,angry,14,徐麗華,angry,65,1,neutral,2
15,5,徐麗華,我不講道理，你叫他去討別的女人我一點也不稀罕！,angry,3,"左母,左父,左正鵬","son/daughter-in-law,son/daughter-in-law,spouse",inferior,左母,sadness,65,左正鵬,disgust,23,1,suppressed,4
15,6,左正鵬,爸、媽，您們倆就少說幾句行嗎！和她講沒多大意思的。,disgust,2,"左父,左母","child,child",inferior,徐麗華,angry,23,,,25,1,suppressed,3
16,0,徐母,閨女，你和正鵬倆又吵架了是嗎？,surprise,1,徐麗華,parent,superior,,,0,徐麗華,angry,15,1,neutral,2
16,1,徐麗華,是的，爲了一點小事又和他吵了大嘴！,angry,1,徐母,child,inferior,徐母,surprise,15,徐母,surprise,17,1,suppressed,4
16,2,徐母,你們爲點什麼小事吵了大嘴？快說給媽聽聽。,surprise,1,徐麗華,parent,superior,徐麗華,angry,17,徐麗華,angry,20,1,neutral,2
16,3,徐麗華,媽，昨天他把家裏的錢給生產隊買耕牛去了，我去扯布沒有錢了。還說我對他沒有良心。就是爲了這兩句話我們就吵起來啦！,angry,1,徐母,child,inferior,徐母,surprise,20,徐父,surprise,55,1,suppressed,4
16,4,徐父,我不信。正鵬不讓你去扯布，一定有他的理由；說你對他沒有良心肯定有事實！,surprise,1,徐麗華,parent,superior,徐麗華,angry,55,徐母,neutral,35,1,neutral,2
16,5,徐母,好啦！就別問她那麼多了。既然閨女回了孃家就讓她多住上幾天消消氣也好。世上哪有夫妻倆不吵架的事。反正孃家就是女兒的“根據地”。,neutral,1,徐父,spouse,peer,徐父,surprise,35,徐父,neutral,62,1,suppressed,3
16,6,徐父,誰說孃家是女兒的“根據地”？俗話說“嫁出去的女就是點出去的兵”！麗華，你明天應立即給我回去，不能久住！,neutral,1,徐麗華,parent,superior,徐母,neutral,62,徐母,disgust,51,1,suppressed,3
16,7,徐母,老伴，你的心腸怎麼這麼狠呢？閨女剛來你就要趕她走，這也不近情理嗎！,disgust,1,徐父,spouse,peer,徐父,neutral,51,徐父,neutral,33,1,suppressed,3
16,8,徐父,老婆子，我不是心狠，你要知道“夫妻不記隔夜仇”的，你把閨女留在家裏，她倆的感情不就越來越鬆懈了嗎！,neutral,1,徐母,spouse,peer,徐母,disgust,33,,,49,1,neutral,2
17,0,左正鵬,媽，麗華這次回到孃家有幾天啦。明天是星期天，我想去岳母家把情況跟她父母講講聽，不然她父母只聽她一面之詞，反說我們無道理呀！,fear,1,左母,child,inferior,,,0,左父,neutral,61,1,suppressed,5
17,1,左父,你去趟也好，不過你要維護自己的尊嚴，講話要把握好分寸，決不能讓她得寸進尺！騎在你的頭上。,neutral,1,左正鵬,parent,superior,左正鵬,fear,61,左母,disgust,44,1,suppressed,3
